Contracts Register -  All live contracts ,,,,,,,,,,,,,,,,,,,,,,,,,,
ContractReferenceNo,ContractTitle,Directorate,Department,TeamName,ParentClassification,IsTermContract,IsOJEU,ContractAwarded,HasExtensionOption,IsContractVariation,IsElectronicsWatch,Goods_Serivce_or_Works,FinancialImplications,ContractCost,EsitmatedCostOfContract,CostVariance,Contract_Duration__months_,Contract_Extended,Extended_Post_Contract,Auth_to_Tender,Framework_Agreement,Initial_Contract_start_date,Initial_Contract_end_date,Ext_Contract_start_date,Ext_Contract_end_date,SuccessfulSupplier
7301,Bill Validation and Energy Services  ,Directorate of Corporate Services,Property and TSS,Property Technical Assurance, / ,,No,Yes,No,,,Goods/Service,Expenditure,"£14,676","£45,000","-£30,324",12,No,No,,,01/12/2024,30/11/2025,,, TEAM (Energy Auditing Agency Ltd (vendor no: N/A)
7300,Provision of water and sewage,Directorate of Corporate Services,Property and TSS,Property Technical Assurance, / ,,No,Yes,No,,,Goods/Service,Expenditure,"£868,824","£750,000","£118,824",36,No,No,,NEPO - North East Procurement Organisation,27/10/2024,26/10/2027,,, Anglian Water Business (National) Limited Trading as Wave Utilities (vendor no: N/A)
7298,Vetting System ,Directorate for Preparedness and Response,Operational Resilience and Control,Executive Business and Governance Team,Professional Services  / HR Services,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£24,000","£24,000",£0,36,No,No,,,02/01/2024,01/01/2027,,, Essex County Council (vendor no: N/A)
7297,Finchley Appliance bay doors,Directorate of Corporate Services,Property and TSS,Property Major Projects,Construction and FM / Engineering Products and Equipment,No,No,Yes,No,,,Works,Expenditure,"£310,000","£310,000",£0,3,No,No,,,,,,,
7296,TRANSLATION AND ANCILLARY SERVICES,Commissioner,Communications,Community Engagement,Professional Services  / Interpretation and Translation,Yes,No,Yes,Yes,,,Goods/Service,Expenditure,"£258,000","£258,000",£0,36,Yes,No,,Crown Commercial Services,25/04/2022,24/04/2025,22/04/2025,22/07/2026, AA Global Language Services Ltd (vendor no: N/A)
7294,Paddington Fire Station - Privacy for All Works & Redecoration,Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£421,548","£310,000","£111,548",4,No,No,,,,,,, B Nokes Contracts (vendor no: 19094)
7293,Soho Fire Station - Privacy for All Works,Directorate of Corporate Services,Property and TSS,Property Access & Workplace,Construction and FM / Property Occupation,No,No,Yes,No,,,Works,Expenditure,"£346,662","£200,000","£146,662",3,No,No,,,08/04/2024,,,, B Nokes Contracts (vendor no: N/A)
7289,iBoss Zero Trust,Directorate of Corporate Services,Information and Communications Technology ,Security,ICT / Software,No,No,Yes,No,,,Goods/Service,Expenditure,"£127,373","£127,373",£0,36,No,No,,NOECPC,27/10/2023,26/01/2027,,, MTI Technology Ltd (vendor no: 19820)
7288,Lone Worker Devices,"Directorate for Prevention, Protection and Operational Policy",Prevention and Protection,FSR Policy Team,ICT / Hardware,No,No,Yes,No,,,Goods/Service,Expenditure,"£80,000","£40,000","£40,000",24,No,No,,PFH Call Off Contract,04/01/2024,03/01/2026,,, SKYGUARD LIMITED T/A PEOPLESAFE (vendor no: N/A)
7287,Procurement of new Zero Client end user devices,Directorate of Corporate Services,Information and Communications Technology ,ICT Management,ICT / Hardware,Yes,No,Yes,No,,,Goods/Service,Expenditure,"£1,200,000","£1,200,000",£0,36,No,No,,,05/12/2023,04/12/2026,,, CDW Limited (vendor no: 20354)
